,X,people_daily_lives,pol_covid_testing,pol_econ_stocks,culture_film,pol_racism,pol_edu,pol_trump,pol_state_level,pol_congress,people_family,other_sports_1,pol_covid_cases,pol_china,other_social_media,other_sports_2,other_local_city,pol_election,pol_econ_workers,pol_vaccine,other_climate,bias,reliability,source_name,lean_buckets,local_national
1,1,0.049556321,0.06901699,0.018410463,0.021296311,0.020674028,0.047917875,0.026650566,0.114538345,0.032420248,0.0664713,0.079765307,0.138325671,0.005650721,0.027359968,0.03628005,0.045609724,0.021708508,0.112890228,0.049957881,0.01549954,-2.22,47.66,AL,center,local
2,2,0.076530932,0.025745754,0.034411725,0.016776682,0.014652255,0.019304882,0.018590348,0.135504199,0.01405024,0.08191346,0.003258299,0.144283753,0.009981163,0.046843706,0.020685234,0.096885334,0.003936753,0.183236479,0.040200907,0.01320802,-4.694942,46.841946,Albuquerque_Journal,center,local
3,3,0.053280005,0.037416891,0.007992118,0.066869449,0.03960466,0.057106128,0.015380393,0.290739455,0.005199533,0.08804682,0.015763879,0.054496939,0.005099175,0.021476107,0.051142458,0.088833358,0.011582613,0.042712912,0.024258962,0.022998108,-2.8513,46.785468,Asbury_Park_Press,center,local
4,4,0.030101635,0.072411101,0.023753491,0.007362185,0.054752184,0.083670785,0.032459822,0.114767913,0.022104808,0.064723992,0.059451406,0.094600843,0.010157314,0.073086925,0.042420076,0.027410456,0.073217722,0.062321426,0.043598367,0.007627603,-1.99,45.56,Atlanta_Journal_Constitution,center,local
5,5,0.056175761,0.055458215,0.009462641,0.033587856,0.02358486,0.060663341,0.012792813,0.040743741,0.004958431,0.105989544,0.080856365,0.125047512,0.00478895,0.025089345,0.128392541,0.117682744,0.01204688,0.056807481,0.029197029,0.016673974,-6.49,44.08,AZCentral,center,local
6,6,0.028130942,0.054966068,0.353244337,0.013800077,0.007126005,0.00820342,0.027856626,0.022339495,0.018709654,0.048967956,0.002170562,0.023634594,0.132538333,0.052417965,0.007177463,0.0298812,0.012074688,0.103663976,0.039441919,0.01365479,0.990136,44.39092,Bloomberg,center,national
7,7,0.020904389,0.066140397,0.064454492,0.018862732,0.040416674,0.032973073,0.054779541,0.074631912,0.030296699,0.085425226,0.060243043,0.085012599,0.05871292,0.026693364,0.065284976,0.035856315,0.030583696,0.068771295,0.061903137,0.018053529,14.37,40.31,Boston_Herald,right_leaning,local_national
8,8,0.013179462,0.052610737,0.028371541,0.029176767,0.055828186,0.016350719,0.165643134,0.05770248,0.039246654,0.075464885,0.010227745,0.042793064,0.160132863,0.064715703,0.016110352,0.01968245,0.042252073,0.055071256,0.045120082,0.010319902,19.07,29.58,Breitbart_News,right_leaning,national
9,9,0.101246029,0.064270121,0.072901671,0.005737482,0.021436052,0.016024786,0.009125511,0.165132055,0.003749849,0.0933124,0.03810145,0.07559764,0.004806653,0.035153512,0.014269544,0.087737118,0.00209969,0.149404742,0.025159781,0.01473387,-1.908378,46.283452,Buffalo_News,center,local
10,10,0.030641638,0.070914391,0.039361816,0.033338772,0.048069684,0.020536859,0.078252026,0.068417061,0.045550847,0.086895196,0.008431919,0.070333762,0.051369829,0.04388584,0.012837626,0.022633233,0.058103724,0.090684778,0.089168472,0.030572535,-3.96,48.93,CBS_News,center,national
11,11,0.066842502,0.048618583,0.121492925,0.014057312,0.039363779,0.048127722,0.010509328,0.093982384,0.020282451,0.06884465,0.005271373,0.080591836,0.004446993,0.031270979,0.01081349,0.143634233,0.048073654,0.096210316,0.019184268,0.028381159,-3.642594,46.699496,Charleston_Post_Courier,center,local
12,12,0.052990952,0.041441833,0.021450168,0.306062712,0.031771715,0.039475106,0.03973013,0.026881408,0.009366528,0.166137071,0.031659593,0.027763921,0.012636102,0.034490998,0.022999204,0.050304071,0.016979101,0.034881012,0.021152586,0.011825867,-1.76,47.15,Chicago_Tribune,center,local
